codigo_dealer,marca,metrica,mes,valor
100120,BMW,Retail,MAYO,7.0
100120,BMW,Retail,JUNIO,7.0
100120,BMW,Retail,JULIO,0.0
100120,BMW,Retail,AGOSTO,0.0
100120,BMW,Retail,SEPTIEMBRE,0.0
100120,BMW,Retail,OCTUBRE,0.0
100120,BMW,Retail,NOVIEMBRE,0.0
100120,BMW,Retail,DICIEMBRE,0.0
100146,BMW,Retail,ENERO,7.0
100146,BMW,Retail,FEBRERO,7.0
100146,BMW,Retail,MARZO,7.0
100146,BMW,Retail,ABRIL,8.0
100146,BMW,Retail,MAYO,8.0
100146,BMW,Retail,JUNIO,8.0
100146,BMW,Retail,JULIO,0.0
100146,BMW,Retail,AGOSTO,0.0
100146,BMW,Retail,SEPTIEMBRE,0.0
100146,BMW,Retail,OCTUBRE,0.0
100146,BMW,Retail,NOVIEMBRE,0.0
100146,BMW,Retail,DICIEMBRE,0.0
100155,BMW,Retail,ENERO,10.0
100155,BMW,Retail,FEBRERO,10.0
100155,BMW,Retail,MARZO,10.0
100155,BMW,Retail,ABRIL,10.0
100155,BMW,Retail,MAYO,10.0
100155,BMW,Retail,JUNIO,10.0
100155,BMW,Retail,JULIO,0.0
100155,BMW,Retail,AGOSTO,0.0
100155,BMW,Retail,SEPTIEMBRE,0.0
100155,BMW,Retail,OCTUBRE,0.0
100155,BMW,Retail,NOVIEMBRE,0.0
100155,BMW,Retail,DICIEMBRE,0.0
100304,BMW,Retail,ENERO,15.0
100304,BMW,Retail,FEBRERO,16.0
100304,BMW,Retail,MARZO,16.0
100304,BMW,Retail,ABRIL,16.0
100304,BMW,Retail,MAYO,16.0
100304,BMW,Retail,JUNIO,16.0
100304,BMW,Retail,JULIO,0.0
100304,BMW,Retail,AGOSTO,0.0
100304,BMW,Retail,SEPTIEMBRE,0.0
100304,BMW,Retail,OCTUBRE,0.0
100304,BMW,Retail,NOVIEMBRE,0.0
100304,BMW,Retail,DICIEMBRE,0.0
100346,BMW,Retail,ENERO,10.0
100346,BMW,Retail,FEBRERO,10.0
100346,BMW,Retail,MARZO,10.0
100346,BMW,Retail,ABRIL,10.0
100346,BMW,Retail,MAYO,10.0
100346,BMW,Retail,JUNIO,10.0
100346,BMW,Retail,JULIO,11.0
100346,BMW,Retail,AGOSTO,10.0
100346,BMW,Retail,SEPTIEMBRE,11.0
100346,BMW,Retail,OCTUBRE,11.0
100346,BMW,Retail,NOVIEMBRE,11.0
100346,BMW,Retail,DICIEMBRE,11.0
100454,BMW,Retail,ENERO,4.0
100454,BMW,Retail,FEBRERO,4.0
100454,BMW,Retail,MARZO,4.0
100454,BMW,Retail,ABRIL,4.0
100454,BMW,Retail,MAYO,4.0
100454,BMW,Retail,JUNIO,4.0
100454,BMW,Retail,JULIO,0.0
100454,BMW,Retail,AGOSTO,0.0
100454,BMW,Retail,SEPTIEMBRE,0.0
100454,BMW,Retail,OCTUBRE,0.0
100454,BMW,Retail,NOVIEMBRE,0.0
100454,BMW,Retail,DICIEMBRE,0.0
100571,BMW,Retail,ENERO,6.0
100571,BMW,Retail,FEBRERO,6.0
100571,BMW,Retail,MARZO,6.0
100571,BMW,Retail,ABRIL,6.0
100571,BMW,Retail,MAYO,6.0
100571,BMW,Retail,JUNIO,6.0
100571,BMW,Retail,JULIO,0.0
100571,BMW,Retail,AGOSTO,0.0
100571,BMW,Retail,SEPTIEMBRE,0.0
100571,BMW,Retail,OCTUBRE,0.0
100571,BMW,Retail,NOVIEMBRE,0.0
100571,BMW,Retail,DICIEMBRE,0.0
100015,BMW,Retail,ENERO,12.0
100015,BMW,Retail,FEBRERO,12.0
100015,BMW,Retail,MARZO,12.0
100015,BMW,Retail,ABRIL,13.0
100015,BMW,Retail,MAYO,13.0
100015,BMW,Retail,JUNIO,13.0
100015,BMW,Retail,JULIO,11.0
100015,BMW,Retail,AGOSTO,9.0
100015,BMW,Retail,SEPTIEMBRE,12.0
100015,BMW,Retail,OCTUBRE,12.0
100015,BMW,Retail,NOVIEMBRE,12.0
100015,BMW,Retail,DICIEMBRE,11.0
100190,BMW,Retail,ENERO,16.0
100190,BMW,Retail,FEBRERO,16.0
100190,BMW,Retail,MARZO,17.0
100190,BMW,Retail,ABRIL,17.0
100190,BMW,Retail,MAYO,17.0
100190,BMW,Retail,JUNIO,17.0
100190,BMW,Retail,JULIO,15.0
100190,BMW,Retail,AGOSTO,12.0
100190,BMW,Retail,SEPTIEMBRE,15.0
100190,BMW,Retail,OCTUBRE,16.0
100190,BMW,Retail,NOVIEMBRE,17.0
100190,BMW,Retail,DICIEMBRE,15.0
100379,BMW,Retail,ENERO,18.0
100379,BMW,Retail,FEBRERO,18.0
100379,BMW,Retail,MARZO,18.0
100379,BMW,Retail,ABRIL,18.0
100379,BMW,Retail,MAYO,19.0
100379,BMW,Retail,JUNIO,19.0
100379,BMW,Retail,JULIO,15.0
100379,BMW,Retail,AGOSTO,14.0
100379,BMW,Retail,SEPTIEMBRE,15.0
100379,BMW,Retail,OCTUBRE,20.0
100379,BMW,Retail,NOVIEMBRE,19.0
100379,BMW,Retail,DICIEMBRE,17.0
100410,BMW,Retail,ENERO,23.0
100410,BMW,Retail,FEBRERO,23.0
100410,BMW,Retail,MARZO,23.0
100410,BMW,Retail,ABRIL,23.0
100410,BMW,Retail,MAYO,24.0
100410,BMW,Retail,JUNIO,24.0
100410,BMW,Retail,JULIO,20.0
100410,BMW,Retail,AGOSTO,18.0
100410,BMW,Retail,SEPTIEMBRE,23.0
100410,BMW,Retail,OCTUBRE,27.0
100410,BMW,Retail,NOVIEMBRE,26.0
100410,BMW,Retail,DICIEMBRE,26.0
100739,BMW,Retail,ENERO,10.0
100739,BMW,Retail,FEBRERO,10.0
100739,BMW,Retail,MARZO,10.0
100739,BMW,Retail,ABRIL,10.0
100739,BMW,Retail,MAYO,11.0
100739,BMW,Retail,JUNIO,11.0
100739,BMW,Retail,JULIO,8.0
100739,BMW,Retail,AGOSTO,7.0
100739,BMW,Retail,SEPTIEMBRE,9.0
100739,BMW,Retail,OCTUBRE,9.0
100739,BMW,Retail,NOVIEMBRE,9.0
100739,BMW,Retail,DICIEMBRE,8.0
100348,BMW,Retail,ENERO,25.0
100348,BMW,Retail,FEBRERO,26.0
100348,BMW,Retail,MARZO,26.0
100348,BMW,Retail,ABRIL,26.0
100348,BMW,Retail,MAYO,26.0
100348,BMW,Retail,JUNIO,26.0
100348,BMW,Retail,JULIO,0.0
100348,BMW,Retail,AGOSTO,0.0
100348,BMW,Retail,SEPTIEMBRE,0.0
100348,BMW,Retail,OCTUBRE,0.0
100348,BMW,Retail,NOVIEMBRE,0.0
100348,BMW,Retail,DICIEMBRE,0.0
100585,BMW,Retail,ENERO,6.0
100585,BMW,Retail,FEBRERO,6.0
100585,BMW,Retail,MARZO,7.0
100585,BMW,Retail,ABRIL,6.0
100585,BMW,Retail,MAYO,6.0
100585,BMW,Retail,JUNIO,7.0
100585,BMW,Retail,JULIO,6.0
100585,BMW,Retail,AGOSTO,6.0
100585,BMW,Retail,SEPTIEMBRE,6.0
100585,BMW,Retail,OCTUBRE,6.0
100585,BMW,Retail,NOVIEMBRE,6.0
100585,BMW,Retail,DICIEMBRE,8.0
100597,BMW,Retail,ENERO,6.0
100597,BMW,Retail,FEBRERO,6.0
100597,BMW,Retail,MARZO,6.0
100597,BMW,Retail,ABRIL,6.0
100597,BMW,Retail,MAYO,6.0
100597,BMW,Retail,JUNIO,7.0
100597,BMW,Retail,JULIO,6.0
100597,BMW,Retail,AGOSTO,6.0
100597,BMW,Retail,SEPTIEMBRE,6.0
100597,BMW,Retail,OCTUBRE,6.0
100597,BMW,Retail,NOVIEMBRE,6.0
100597,BMW,Retail,DICIEMBRE,7.0
100727,BMW,Retail,ENERO,10.0
100727,BMW,Retail,FEBRERO,11.0
100727,BMW,Retail,MARZO,12.0
100727,BMW,Retail,ABRIL,12.0
100727,BMW,Retail,MAYO,12.0
100727,BMW,Retail,JUNIO,13.0
100727,BMW,Retail,JULIO,0.0
100727,BMW,Retail,AGOSTO,0.0
100727,BMW,Retail,SEPTIEMBRE,0.0
100727,BMW,Retail,OCTUBRE,0.0
100727,BMW,Retail,NOVIEMBRE,0.0
100727,BMW,Retail,DICIEMBRE,0.0
100728,BMW,Retail,ENERO,30.0
100728,BMW,Retail,FEBRERO,31.0
100728,BMW,Retail,MARZO,31.0
100728,BMW,Retail,ABRIL,31.0
100728,BMW,Retail,MAYO,31.0
100728,BMW,Retail,JUNIO,31.0
100728,BMW,Retail,JULIO,32.0
100728,BMW,Retail,AGOSTO,32.0
100728,BMW,Retail,SEPTIEMBRE,32.0
100728,BMW,Retail,OCTUBRE,32.0
100728,BMW,Retail,NOVIEMBRE,32.0
100728,BMW,Retail,DICIEMBRE,30.0
100817,BMW,Retail,ENERO,30.0
100817,BMW,Retail,FEBRERO,30.0
100817,BMW,Retail,MARZO,30.0
100817,BMW,Retail,ABRIL,30.0
100817,BMW,Retail,MAYO,30.0
100817,BMW,Retail,JUNIO,30.0
100817,BMW,Retail,JULIO,33.0
100817,BMW,Retail,AGOSTO,33.0
100817,BMW,Retail,SEPTIEMBRE,33.0
100817,BMW,Retail,OCTUBRE,33.0
100817,BMW,Retail,NOVIEMBRE,33.0
100817,BMW,Retail,DICIEMBRE,35.0
100909,BMW,Retail,ENERO,28.0
100909,BMW,Retail,FEBRERO,28.0
100909,BMW,Retail,MARZO,28.0
100909,BMW,Retail,ABRIL,28.0
100909,BMW,Retail,MAYO,28.0
100909,BMW,Retail,JUNIO,28.0
100909,BMW,Retail,JULIO,0.0
100909,BMW,Retail,AGOSTO,0.0
100909,BMW,Retail,SEPTIEMBRE,0.0
100909,BMW,Retail,OCTUBRE,0.0
100909,BMW,Retail,NOVIEMBRE,0.0
100909,BMW,Retail,DICIEMBRE,0.0
100572,BMW,Retail,ENERO,67.0
100572,BMW,Retail,FEBRERO,67.0
100572,BMW,Retail,MARZO,67.0
100572,BMW,Retail,ABRIL,67.0
100572,BMW,Retail,MAYO,67.0
100572,BMW,Retail,JUNIO,67.0
100572,BMW,Retail,JULIO,0.0
100572,BMW,Retail,AGOSTO,0.0
100572,BMW,Retail,SEPTIEMBRE,0.0
100572,BMW,Retail,OCTUBRE,0.0
100572,BMW,Retail,NOVIEMBRE,0.0
100572,BMW,Retail,DICIEMBRE,0.0
100584,BMW,Retail,ENERO,16.0
100584,BMW,Retail,FEBRERO,16.0
100584,BMW,Retail,MARZO,16.0
100584,BMW,Retail,ABRIL,16.0
100584,BMW,Retail,MAYO,16.0
100584,BMW,Retail,JUNIO,17.0
100584,BMW,Retail,JULIO,0.0
100584,BMW,Retail,AGOSTO,0.0
100584,BMW,Retail,SEPTIEMBRE,0.0
100584,BMW,Retail,OCTUBRE,0.0
100584,BMW,Retail,NOVIEMBRE,0.0
100584,BMW,Retail,DICIEMBRE,0.0
100765,BMW,Retail,ENERO,4.0
100765,BMW,Retail,FEBRERO,4.0
100765,BMW,Retail,MARZO,5.0
100765,BMW,Retail,ABRIL,4.0
100765,BMW,Retail,MAYO,5.0
100765,BMW,Retail,JUNIO,5.0
100765,BMW,Retail,JULIO,0.0
100765,BMW,Retail,AGOSTO,0.0
100765,BMW,Retail,SEPTIEMBRE,0.0
100765,BMW,Retail,OCTUBRE,0.0
100765,BMW,Retail,NOVIEMBRE,0.0
100765,BMW,Retail,DICIEMBRE,0.0
100002,BMW,Retail,ENERO,19.0
100002,BMW,Retail,FEBRERO,19.0
100002,BMW,Retail,MARZO,19.0
100002,BMW,Retail,ABRIL,19.0
100002,BMW,Retail,MAYO,19.0
100002,BMW,Retail,JUNIO,20.0
100002,BMW,Retail,JULIO,0.0
100002,BMW,Retail,AGOSTO,0.0
100002,BMW,Retail,SEPTIEMBRE,0.0
100002,BMW,Retail,OCTUBRE,0.0
100002,BMW,Retail,NOVIEMBRE,0.0
100002,BMW,Retail,DICIEMBRE,0.0
100062,BMW,Retail,ENERO,39.0
100062,BMW,Retail,FEBRERO,39.0
100062,BMW,Retail,MARZO,39.0
100062,BMW,Retail,ABRIL,39.0
100062,BMW,Retail,MAYO,39.0
100062,BMW,Retail,JUNIO,39.0
100062,BMW,Retail,JULIO,0.0
100062,BMW,Retail,AGOSTO,0.0
100062,BMW,Retail,SEPTIEMBRE,0.0
100062,BMW,Retail,OCTUBRE,0.0
100062,BMW,Retail,NOVIEMBRE,0.0
100062,BMW,Retail,DICIEMBRE,0.0
100206,BMW,Retail,ENERO,25.0
100206,BMW,Retail,FEBRERO,25.0
100206,BMW,Retail,MARZO,25.0
100206,BMW,Retail,ABRIL,25.0
100206,BMW,Retail,MAYO,25.0
100206,BMW,Retail,JUNIO,25.0
100206,BMW,Retail,JULIO,0.0
100206,BMW,Retail,AGOSTO,0.0
100206,BMW,Retail,SEPTIEMBRE,0.0
100206,BMW,Retail,OCTUBRE,0.0
100206,BMW,Retail,NOVIEMBRE,0.0
100206,BMW,Retail,DICIEMBRE,0.0
100394,BMW,Retail,ENERO,10.0
100394,BMW,Retail,FEBRERO,10.0
100394,BMW,Retail,MARZO,10.0
100394,BMW,Retail,ABRIL,10.0
100394,BMW,Retail,MAYO,10.0
100394,BMW,Retail,JUNIO,10.0
100394,BMW,Retail,JULIO,0.0
100394,BMW,Retail,AGOSTO,0.0
100394,BMW,Retail,SEPTIEMBRE,0.0
100394,BMW,Retail,OCTUBRE,0.0
100394,BMW,Retail,NOVIEMBRE,0.0
100394,BMW,Retail,DICIEMBRE,0.0
100468,BMW,Retail,ENERO,28.0
100468,BMW,Retail,FEBRERO,28.0
100468,BMW,Retail,MARZO,29.0
100468,BMW,Retail,ABRIL,28.0
100468,BMW,Retail,MAYO,29.0
100468,BMW,Retail,JUNIO,29.0
100468,BMW,Retail,JULIO,0.0
100468,BMW,Retail,AGOSTO,0.0
100468,BMW,Retail,SEPTIEMBRE,0.0
100468,BMW,Retail,OCTUBRE,0.0
100468,BMW,Retail,NOVIEMBRE,0.0
100468,BMW,Retail,DICIEMBRE,0.0
100734,BMW,Retail,ENERO,33.0
100734,BMW,Retail,FEBRERO,33.0
100734,BMW,Retail,MARZO,34.0
100734,BMW,Retail,ABRIL,33.0
100734,BMW,Retail,MAYO,33.0
100734,BMW,Retail,JUNIO,34.0
100734,BMW,Retail,JULIO,0.0
100734,BMW,Retail,AGOSTO,0.0
100734,BMW,Retail,SEPTIEMBRE,0.0
100734,BMW,Retail,OCTUBRE,0.0
100734,BMW,Retail,NOVIEMBRE,0.0
100734,BMW,Retail,DICIEMBRE,0.0
100311,BMW,Retail,ENERO,26.0
100311,BMW,Retail,FEBRERO,26.0
100311,BMW,Retail,MARZO,26.0
100311,BMW,Retail,ABRIL,27.0
100311,BMW,Retail,MAYO,27.0
100311,BMW,Retail,JUNIO,28.0
100311,BMW,Retail,JULIO,26.0
100311,BMW,Retail,AGOSTO,23.0
100311,BMW,Retail,SEPTIEMBRE,26.0
100311,BMW,Retail,OCTUBRE,30.0
100311,BMW,Retail,NOVIEMBRE,30.0
100311,BMW,Retail,DICIEMBRE,25.0
100393,BMW,Retail,ENERO,34.0
100393,BMW,Retail,FEBRERO,34.0
100393,BMW,Retail,MARZO,34.0
100393,BMW,Retail,ABRIL,34.0
100393,BMW,Retail,MAYO,34.0
100393,BMW,Retail,JUNIO,35.0
100393,BMW,Retail,JULIO,0.0
100393,BMW,Retail,AGOSTO,0.0
100393,BMW,Retail,SEPTIEMBRE,0.0
100393,BMW,Retail,OCTUBRE,0.0
100393,BMW,Retail,NOVIEMBRE,0.0
100393,BMW,Retail,DICIEMBRE,0.0
100586,BMW,Retail,ENERO,39.0
100586,BMW,Retail,FEBRERO,39.0
100586,BMW,Retail,MARZO,39.0
100586,BMW,Retail,ABRIL,39.0
100586,BMW,Retail,MAYO,39.0
100586,BMW,Retail,JUNIO,40.0
100586,BMW,Retail,JULIO,0.0
100586,BMW,Retail,AGOSTO,0.0
100586,BMW,Retail,SEPTIEMBRE,0.0
100586,BMW,Retail,OCTUBRE,0.0
100586,BMW,Retail,NOVIEMBRE,0.0
100586,BMW,Retail,DICIEMBRE,0.0
100813,BMW,Retail,ENERO,22.0
100813,BMW,Retail,FEBRERO,22.0
100813,BMW,Retail,MARZO,22.0
100813,BMW,Retail,ABRIL,23.0
100813,BMW,Retail,MAYO,23.0
100813,BMW,Retail,JUNIO,23.0
100813,BMW,Retail,JULIO,0.0
100813,BMW,Retail,AGOSTO,0.0
100813,BMW,Retail,SEPTIEMBRE,0.0
100813,BMW,Retail,OCTUBRE,0.0
100813,BMW,Retail,NOVIEMBRE,0.0
100813,BMW,Retail,DICIEMBRE,0.0
100344,BMW,Retail,ENERO,33.0
100344,BMW,Retail,FEBRERO,33.0
100344,BMW,Retail,MARZO,33.0
100344,BMW,Retail,ABRIL,33.0
100344,BMW,Retail,MAYO,34.0
100344,BMW,Retail,JUNIO,34.0
100344,BMW,Retail,JULIO,0.0
100344,BMW,Retail,AGOSTO,0.0
100344,BMW,Retail,SEPTIEMBRE,0.0
100344,BMW,Retail,OCTUBRE,0.0
100344,BMW,Retail,NOVIEMBRE,0.0
100344,BMW,Retail,DICIEMBRE,0.0
100422,BMW,Retail,ENERO,15.0
100422,BMW,Retail,FEBRERO,15.0
100422,BMW,Retail,MARZO,15.0
100422,BMW,Retail,ABRIL,15.0
100422,BMW,Retail,MAYO,15.0
100422,BMW,Retail,JUNIO,15.0
100422,BMW,Retail,JULIO,0.0
100422,BMW,Retail,AGOSTO,0.0
100422,BMW,Retail,SEPTIEMBRE,0.0
100422,BMW,Retail,OCTUBRE,0.0
100422,BMW,Retail,NOVIEMBRE,0.0
100422,BMW,Retail,DICIEMBRE,0.0
100549,BMW,Retail,ENERO,7.0
100549,BMW,Retail,FEBRERO,7.0
100549,BMW,Retail,MARZO,7.0
100549,BMW,Retail,ABRIL,7.0
100549,BMW,Retail,MAYO,7.0
100549,BMW,Retail,JUNIO,7.0
100549,BMW,Retail,JULIO,0.0
100549,BMW,Retail,AGOSTO,0.0
100549,BMW,Retail,SEPTIEMBRE,0.0
100549,BMW,Retail,OCTUBRE,0.0
100549,BMW,Retail,NOVIEMBRE,0.0
100549,BMW,Retail,DICIEMBRE,0.0
100589,BMW,Retail,ENERO,22.0
100589,BMW,Retail,FEBRERO,22.0
100589,BMW,Retail,MARZO,22.0
100589,BMW,Retail,ABRIL,23.0
100589,BMW,Retail,MAYO,23.0
100589,BMW,Retail,JUNIO,23.0
100589,BMW,Retail,JULIO,0.0
100589,BMW,Retail,AGOSTO,0.0
100589,BMW,Retail,SEPTIEMBRE,0.0
100589,BMW,Retail,OCTUBRE,0.0
100589,BMW,Retail,NOVIEMBRE,0.0
100589,BMW,Retail,DICIEMBRE,0.0
100819,BMW,Retail,ENERO,18.0
100819,BMW,Retail,FEBRERO,18.0
100819,BMW,Retail,MARZO,18.0
100819,BMW,Retail,ABRIL,18.0
100819,BMW,Retail,MAYO,19.0
100819,BMW,Retail,JUNIO,19.0
100819,BMW,Retail,JULIO,0.0
100819,BMW,Retail,AGOSTO,0.0
100819,BMW,Retail,SEPTIEMBRE,0.0
100819,BMW,Retail,OCTUBRE,0.0
100819,BMW,Retail,NOVIEMBRE,0.0
100819,BMW,Retail,DICIEMBRE,0.0
100881,BMW,Retail,ENERO,26.0
100881,BMW,Retail,FEBRERO,26.0
100881,BMW,Retail,MARZO,27.0
100881,BMW,Retail,ABRIL,27.0
100881,BMW,Retail,MAYO,27.0
100881,BMW,Retail,JUNIO,27.0
100881,BMW,Retail,JULIO,0.0
100881,BMW,Retail,AGOSTO,0.0
100881,BMW,Retail,SEPTIEMBRE,0.0
100881,BMW,Retail,OCTUBRE,0.0
100881,BMW,Retail,NOVIEMBRE,0.0
100881,BMW,Retail,DICIEMBRE,0.0
12345,BMW,Retail,ENERO,0.0
12345,BMW,Retail,FEBRERO,0.0
12345,BMW,Retail,MARZO,0.0
12345,BMW,Retail,ABRIL,0.0
12345,BMW,Retail,MAYO,0.0
12345,BMW,Retail,JUNIO,0.0
100323,MINI,Retail,ENERO,11.0
100323,MINI,Retail,FEBRERO,12.0
100323,MINI,Retail,MARZO,12.0
100323,MINI,Retail,ABRIL,11.0
100323,MINI,Retail,MAYO,12.0
